principal_component	variance_explained_percent
PC1	36.994732558449684
PC2	29.959315816142226
PC3	9.326721872398169
PC4	5.417478129834263
PC5	5.2560243811333125
PC6	4.706417072902045
PC7	4.2154793938951345
PC8	3.000691273925027
PC9	1.1231395013201302
PC10	3.87565661273835e-26
