model,split,initial_balanced_accuracy,initial_average_precision,refined_balanced_accuracy,refined_average_precision,delta_balanced_accuracy,delta_average_precision
DummyMostFrequent,stratified_80_20,0.5,0.890288365926417,0.5,0.890288365926417,0.0,0.0
LogisticRegression,stratified_80_20,0.5559384792580078,0.909949542942344,0.5530759246220192,0.9174779362990231,-0.0028625546359886123,0.007528393356679097
RandomForest,stratified_80_20,0.4984376862910065,0.900644076666187,0.5019531733302139,0.9003352086912558,0.0035154870392074544,-0.0003088679749311263
DummyMostFrequent,chromosome_group_holdout,0.5,0.8975328651179543,0.5,0.8975328651179543,0.0,0.0
LogisticRegression,chromosome_group_holdout,0.5501390036870182,0.9196423990317978,0.5583096136106542,0.9201134572032152,0.008170609923636052,0.00047105817141746
RandomForest,chromosome_group_holdout,0.5049174934482787,0.9087223693172484,0.5035817604030614,0.9080934010187296,-0.001335733045217391,-0.0006289682985187728
