model,split,n_test,positive_rate_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp
DummyMostFrequent,stratified_80_20,3017,0.890288365926417,0.890288365926417,0.5,0.890288365926417,1.0,0.941960371734175,0.5,0.890288365926417,0,331,0,2686
LogisticRegression,stratified_80_20,3017,0.890288365926417,0.5276764998342724,0.5559384792580078,0.9118223383409536,0.5197319434102755,0.6620820488498933,0.5775937894374547,0.9099495429423441,196,135,1290,1396
RandomForest,stratified_80_20,3017,0.890288365926417,0.8544912164401723,0.4984376862910065,0.8899687608469281,0.9545793000744601,0.9211424465600863,0.5329497472628579,0.900644076666187,14,317,122,2564
DummyMostFrequent,chromosome_group_holdout,5553,0.8975328651179543,0.8975328651179543,0.5,0.8975328651179543,1.0,0.9459998101926544,0.5,0.8975328651179543,0,569,0,4984
LogisticRegression,chromosome_group_holdout,5553,0.8975328651179543,0.5278227984873042,0.5501390036870182,0.9155524278676987,0.5220706260032103,0.6649629440327115,0.5719476313658893,0.9196423990317978,329,240,2382,2602
RandomForest,chromosome_group_holdout,5553,0.8975328651179543,0.8658382856113812,0.5049174934482787,0.8984771573604061,0.958868378812199,0.9276909637969524,0.5344085255594704,0.9087223693172484,29,540,205,4779
