model,split,n_test,positive_rate_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp
DummyMostFrequent,stratified_80_20,3017,0.890288365926417,0.890288365926417,0.5,0.890288365926417,1.0,0.941960371734175,0.5,0.890288365926417,0,331,0,2686
LogisticRegression,stratified_80_20,3017,0.890288365926417,0.5508783559827644,0.5530759246220192,0.9095384615384615,0.5502606105733433,0.6856877754581303,0.5847259933458258,0.9174779362990231,184,147,1208,1478
RandomForest,stratified_80_20,3017,0.890288365926417,0.8631090487238979,0.5019531733302139,0.8906840838776212,0.9646314221891288,0.9261840929401252,0.5326196255396112,0.9003352086912558,13,318,95,2591
DummyMostFrequent,chromosome_group_holdout,5553,0.8975328651179543,0.8975328651179543,0.5,0.8975328651179543,1.0,0.9459998101926544,0.5,0.8975328651179543,0,569,0,4984
LogisticRegression,chromosome_group_holdout,5553,0.8975328651179543,0.5508734017648118,0.5583096136106542,0.9175050301810865,0.5489566613162119,0.6869194074817977,0.5791287832840132,0.9201134572032152,323,246,2248,2736
RandomForest,chromosome_group_holdout,5553,0.8975328651179543,0.8732216819737079,0.5035817604030614,0.8982136211388165,0.9684991974317817,0.9320332110446032,0.5332885973251488,0.9080934010187296,22,547,157,4827
